,fsq_id,categories,distance,location,name,municipio
158,d54b7aba496b4aa2667387f9,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",413,"{'address': 'Calle Trujillos, 7', 'address_extended': '1° B', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Trujillos, 7, 28013 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28013', 'region': 'Comunidad de Madrid'}",Solita Films,madrid
159,96e30ff053114d2d45f31d04,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",542,"{'address': 'Calle Silva, 6', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Silva, 6, 28013 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28013', 'region': 'Madrid'}",Gameworks,madrid
160,7f6fa76f07324861f6050416,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",623,"{'address': 'Plaza Cordón, 2', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Plaza Cordón, 2, 28005 Madrid Comunidad de Madrid', 'locality': 'Madrid', 'postcode': '28005', 'region': 'Comunidad de Madrid'}",Avalon Productions,madrid
161,8ea1a6a72130446155db816a,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",655,"{'address': 'Calle Marques de Leganes, 3', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Marques de Leganes, 3, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",Luz Internacional Films,madrid
162,c16316c2b90844dcc87d047b,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",671,"{'address': 'Mques. Cubas, 6', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Mques. Cubas, 6, 28014 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28014', 'region': 'Madrid'}",La Huella Efectos Digitales,madrid
163,005644906f5d4e452a5e406c,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",686,"{'address': 'Calle Hortaleza, 42', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Hortaleza, 42, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",Abaco Multimedia,madrid
164,82b5d57c8efd4de9d5ff2f1f,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",733,"{'address': 'Calle Gran Via, 62', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Gran Via, 62, 28013 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28013', 'region': 'Madrid'}",Ficciona Media,madrid
165,96426aeffc6c4ac603976837,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",737,"{'address': 'Pez, 12', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Pez, 12, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",Dato Sur,madrid
166,3757df85aca742373bb56e57,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",858,"{'address': 'Calle Augusto Figueroa, 47', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Calle Augusto Figueroa, 47, 28004 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28004', 'region': 'Madrid'}",14pies Audiovisual,madrid
167,9957e9415b3844726675b7af,"[{'id': 11006, 'name': 'Audiovisual Service', 'short_name': 'Audiovisual Service', 'plural_name': 'Audiovisual Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}, {'id': 12009, 'name': 'Education', 'short_name': 'Education', 'plural_name': 'Education', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}}]",861,"{'address': 'Olivar, 47', 'admin_region': 'Comunidad de Madrid', 'country': 'ES', 'formatted_address': 'Olivar, 47, 28012 Madrid Madrid', 'locality': 'Madrid', 'postcode': '28012', 'region': 'Madrid'}",El Opio del Pueblo,madrid
